,temperature,temperature_max,temperature_min,precipitation,humidity,wind_speed,solar_radiation,temperature_range,vpd_kpa,et0,rainfall_7d,rainfall_30d,temperature_7d,water_balance_30d,precipitation_lag1,doy_sin,doy_cos,crop_age,kc,latitude,longitude,field_capacity,wilting_point,root_depth_m,taw_mm,target
temperature,1.0,0.9310350977387511,0.8998551132902959,-0.15294380078200054,-0.42655393747826154,0.008241674538562255,0.5710226128706246,0.48235921152277816,0.7390420411361512,0.8052431651422551,-0.24447808688631745,-0.19217787777474052,0.8243908481763512,-0.43654082689495644,-0.18913324728488612,0.2852312765129996,-0.6164491551220723,0.4720360959138129,-0.3060385191482911,0.043965042149275976,0.035910604697332114,0.04392633041955514,0.044226104566222633,,0.04298901671629496,0.509179102170875
temperature_max,0.9310350977387511,1.0,0.7104562838697885,-0.29589746562813374,-0.6026218707299109,-0.13705088994969983,0.6505030426418161,0.7561781645341475,0.8162180919254822,0.8135360990273894,-0.3362860533556381,-0.25847876084227706,0.7010789627988693,-0.45396345285961126,-0.288517678050322,0.28097699727337644,-0.5155704592814857,0.42069806995917763,-0.19917841817713214,-0.03515568792492181,-0.038393992865314114,-0.035265969728873754,-0.03400154877000129,,-0.036812520556001885,0.534700928255814
temperature_min,0.8998551132902959,0.7104562838697885,1.0,0.0006042733934352442,-0.1702617265543513,0.11220336787149285,0.31800951923833387,0.0767272750563859,0.5197838217926533,0.5830957269289306,-0.1348697841187879,-0.09790739996962873,0.8010172267170262,-0.320931490547752,-0.07529279737251779,0.163131138809145,-0.5340184289459081,0.3600463598819304,-0.381567341986126,0.14289266089979216,0.115395623434385,0.142747595506413,0.1439268762571003,,0.13938830237323582,0.3544020332204528
precipitation,-0.15294380078200054,-0.29589746562813374,0.0006042733934352442,1.0,0.30845484710847565,0.3449853812422749,-0.29337934071207067,-0.4197857866434415,-0.25158408814220184,-0.19703258378448052,0.45437192385453395,0.22262068845311167,-0.0544658652342681,0.21085910042005301,0.32737004656941143,-0.041155975291275765,0.04355508606367623,-0.05308026789385805,-0.008334230733238114,0.08765993526898354,0.07541141360780955,0.08763835890064757,0.08764384392835733,,0.08667351696004313,-0.19680232154876467
humidity,-0.42655393747826154,-0.6026218707299109,-0.1702617265543513,0.30845484710847565,1.0,0.2772735980394919,-0.37390960559622993,-0.6954713873107902,-0.8878724669689714,-0.36326995300061515,0.35672630025484353,0.38554955812237784,-0.25422082364523935,0.3944371143834838,0.26773207852992953,0.0030675987110123136,0.04762289193169636,-0.015076808606307732,0.03896628218337974,0.3809249651595401,0.21459913454720594,0.37918081582618446,0.3967807965565444,,0.3481581153311145,-0.4861022013915304
wind_speed,0.008241674538562255,-0.13705088994969983,0.11220336787149285,0.3449853812422749,0.2772735980394919,1.0,-0.06599533327993888,-0.2985030355542881,-0.1733464229182861,0.034416397534745874,0.23176976825907744,0.11788942180083117,0.10324714386018742,0.029438079834733455,0.18964602035754521,0.11275640463585894,-0.2028134696222732,0.1628029936936661,-0.07127492518280731,0.08791026111441785,0.02268072281839862,0.08711601885542061,0.09534951962274973,,0.07358837595647406,-0.013820731870262113
solar_radiation,0.5710226128706246,0.6505030426418161,0.31800951923833387,-0.29337934071207067,-0.37390960559622993,-0.06599533327993888,1.0,0.6259272603974986,0.4916095403699693,0.8624125572982784,-0.22997508914806605,-0.17338623467484393,0.49435922010409555,-0.44013473589166385,-0.18320756020863335,0.6401556851620391,-0.7601384709648942,0.7504351922895813,0.021309057627563983,-0.13870944523425194,-0.0891587467821592,-0.13823506657714907,-0.14293213687575293,,-0.129551509777062,0.5554501899520213
temperature_range,0.48235921152277816,0.7561781645341475,0.0767272750563859,-0.4197857866434415,-0.6954713873107902,-0.2985030355542881,0.6259272603974986,1.0,0.6730928008560173,0.6104231393549059,-0.35103884957977904,-0.2751714770151673,0.2484634442723187,-0.34475541219019534,-0.3387581755976489,0.2463991598523926,-0.2339030266185097,0.2612549132428042,0.07260245751679652,-0.1826752458047507,-0.1616954326220437,-0.1826966043281877,-0.18200172882141907,,-0.1817641385423345,0.42802108065537997
vpd_kpa,0.7390420411361512,0.8162180919254822,0.5197838217926533,-0.25158408814220184,-0.8878724669689714,-0.1733464229182861,0.4916095403699693,0.6730928008560173,1.0,0.6134056085727845,-0.3330917333479751,-0.35206874400858584,0.5390414088991089,-0.46629616622208286,-0.24042026760649934,0.1110641611293005,-0.2955394965790279,0.20790498072588182,-0.16476679746283235,-0.2598195086450874,-0.14302216252648792,-0.25858097443863415,-0.2711061824113948,,-0.23662631428398273,0.561642744830842
et0,0.8052431651422551,0.8135360990273894,0.5830957269289306,-0.19703258378448052,-0.36326995300061515,0.034416397534745874,0.8624125572982784,0.6104231393549059,0.6134056085727845,1.0,-0.22259812132194143,-0.18696056880782924,0.7008016909944635,-0.5102276289411815,-0.17777835556817329,0.651184090948956,-0.8788652124106936,0.8224587431435864,-0.09764604575854341,-0.08117443376207847,-0.06940353663571537,-0.08114819975469537,-0.08121988176345633,,-0.08015307225061123,0.6050492548386772
