site_id,date,temperature,temperature_max,temperature_min,precipitation,humidity,wind_speed,solar_radiation,temperature_range,vpd_kpa,et0,rainfall_7d,rainfall_30d,temperature_7d,water_balance_30d,precipitation_lag1,doy_sin,doy_cos,crop_age,kc,latitude,longitude,field_capacity,wilting_point,root_depth_m,taw_mm,target,prediction
marrakech,2021-11-15,14.52,23.04,9.15,0.0,36.82,1.72,16.09,13.89,1.0445896577540552,2.39892259016609,0.0,6.590000000000002,14.325714285714286,-80.82828949711222,0.0,-0.7142921172691032,0.699847677146407,0,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.7724189917360581,0.787266301705432
meknes,2021-11-15,14.95,22.66,9.94,0.07,61.96,2.28,15.19,12.72,0.6466284199953939,2.181590078455935,0.1400000000000302,13.08,14.985714285714286,-69.77480421839675,0.01,-0.7142921172691032,0.699847677146407,0,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.7166153998994547,0.5020243808203642
settat,2021-11-15,14.98,23.79,9.83,0.03,62.38,1.71,14.58,13.96,0.6407256485723635,2.3475394585645706,0.29,10.210000000000017,14.902857142857142,-75.08772569891269,0.06,-0.7142921172691032,0.699847677146407,0,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.6969021411182796,0.6826261180266192
marrakech,2021-11-16,13.71,22.0,8.73,0.0,35.96,1.61,16.24,13.27,1.0046386871574915,2.271284340949514,0.0,6.590000000000002,14.349999999999998,-79.02460344458733,0.0,-0.7021479494046978,0.7120310787787131,1,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.7751927634821519,0.7663753185022566
meknes,2021-11-16,15.34,22.88,10.94,0.08,60.85,1.11,15.17,11.94,0.6823983973771562,2.1236795696200623,0.2200000000000302,13.16,15.251428571428573,-68.13949479895221,0.07,-0.7021479494046978,0.7120310787787131,1,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.7207527730202307,0.5154691179473408
settat,2021-11-16,14.37,23.01,8.35,0.05,71.85,1.82,12.69,14.660000000000002,0.4609267994877592,2.3448122194844294,0.34,10.250000000000014,15.01,-73.80008281187816,0.03,-0.7021479494046978,0.7120310787787131,1,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.6966882167094175,0.6826633946996628
marrakech,2021-11-17,12.67,21.21,8.25,0.01,46.97,1.6,15.3,12.96,0.7772840220680254,2.156784424747075,0.0099999999999857,6.600000000000002,14.018571428571429,-77.05092162127836,0.0,-0.6897960046655887,0.7240037789593305,2,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.767917542663614,0.6928598702734712
meknes,2021-11-17,14.38,22.43,8.96,0.05,56.1,1.64,14.49,13.47,0.7192818026981219,2.1750775131759603,0.2500000000000302,13.21,15.15,-66.17680181270417,0.08,-0.6897960046655887,0.7240037789593305,2,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.7302265461741205,0.4850771731438792
settat,2021-11-17,14.35,21.49,10.55,0.03,75.4,1.86,13.45,10.939999999999998,0.4022783095158738,2.0107648057398237,0.36,10.280000000000015,14.89,-71.58219706186682,0.05,-0.6897960046655887,0.7240037789593305,2,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.7105830677645788,0.5868757068097425
marrakech,2021-11-18,14.91,23.81,8.14,0.72,42.52,2.61,13.77,15.669999999999998,0.9745676960003236,2.530133783672596,0.7299999999999858,7.320000000000002,14.007142857142858,-74.51221889092989,0.01,-0.6772399381909491,0.7357622347736527,3,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.5837933175090645,0.7250644125341796
meknes,2021-11-18,16.41,25.82,9.21,0.0,40.85,2.0,13.04,16.61,1.104007599014832,2.550177560728971,0.2400000000000302,13.21,15.327142857142857,-64.40082895650053,0.05,-0.6772399381909491,0.7357622347736527,3,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.5849329890258754,0.5980483542060109
settat,2021-11-18,16.55,25.82,9.05,0.01,48.94,2.0,13.48,16.77,0.9615392696082972,2.6424194679496957,0.35,10.280000000000015,15.068571428571428,-70.11066060619339,0.03,-0.6772399381909491,0.7357622347736527,3,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.6710886487341586,0.612908036746415
marrakech,2021-11-19,13.78,19.14,10.44,8.09,68.18,1.95,5.24,8.700000000000001,0.5014591729608436,1.8090543872542368,8.819999999999986,15.410000000000002,13.974285714285712,-64.321708648533,0.72,-0.6644834655228552,0.7473029667054297,4,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.5905901445413453,0.46528437574580184
meknes,2021-11-19,17.29,25.08,12.01,7.78,50.04,3.33,7.26,13.07,0.9860248648658329,2.304840435648652,7.99000000000003,20.93,15.692857142857145,-55.1146038677408,0.0,-0.6644834655228552,0.7473029667054297,4,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.556531866733069,0.10722328770783111
settat,2021-11-19,17.06,23.22,12.75,1.84,55.42,3.31,9.0,10.47,0.8671298144835489,2.1052500807318832,2.09,12.010000000000016,15.409999999999998,-66.60719784665282,0.01,-0.6644834655228552,0.7473029667054297,4,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.670750483710155,0.511124481665427
marrakech,2021-11-20,13.21,20.02,8.68,0.18,68.07,1.61,12.61,11.34,0.4848474903180905,2.0160281904876203,8.999999999999986,15.490000000000002,13.885714285714286,-63.05140794175395,8.09,-0.6515303615068021,0.75862255966641,5,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.5988043820623785,0.5155708168969778
meknes,2021-11-20,15.11,20.58,10.94,1.33,75.84,1.99,10.95,9.64,0.4149385403187256,1.8443158667896484,9.32000000000003,21.98,15.605714285714283,-52.76030696393144,7.78,-0.6515303615068021,0.75862255966641,5,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.5584463625017371,0.12440622028523429
settat,2021-11-20,14.97,20.98,10.73,0.15,75.05,2.4,12.17,10.25,0.424662792188799,1.9457894213051812,2.1700000000000004,11.400000000000016,15.37285714285714,-66.0251239054752,1.84,-0.6515303615068021,0.75862255966641,5,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.6753575004017195,0.5632840150158681
marrakech,2021-11-21,13.76,20.63,8.87,0.0,52.05,1.39,10.95,11.76,0.7546738823197662,2.077287592605664,8.999999999999986,10.98,13.794285714285715,-66.64185254248551,0.18,-0.6383844591746642,0.769717664006921,6,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.5879435055438929,0.5416897399314134
meknes,2021-11-21,13.87,19.72,9.39,0.19,71.86,1.93,8.75,10.329999999999998,0.4460664060906028,1.8254957439224917,9.50000000000003,21.66,15.335714285714287,-52.0819910742294,1.33,-0.6383844591746642,0.769717664006921,6,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.5296947570114547,0.14312551943129817
settat,2021-11-21,14.3,20.53,9.44,0.04,71.43,1.31,6.14,11.090000000000002,0.4656892689009229,1.970358013737626,2.1500000000000004,10.480000000000016,15.225714285714286,-66.12395901013663,0.15,-0.6383844591746642,0.769717664006921,6,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.6736576899126558,0.5933711692875288
marrakech,2021-11-22,13.98,19.53,10.67,0.55,57.68,1.4,13.07,8.860000000000001,0.6756520209452127,1.8053267681832208,9.549999999999986,11.53,13.717142857142855,-64.53770066937669,0.0,-0.6250496486104377,0.7805849965070866,7,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.5228570613388805,0.5426514966186832
meknes,2021-11-22,13.34,19.65,9.51,1.72,80.59,2.76,10.68,10.14,0.2972465409913993,1.767261553462564,11.15000000000003,23.380000000000003,15.105714285714283,-48.95808408686754,0.19,-0.6250496486104377,0.7805849965070866,7,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.2565211857989473,0.11592391474498755
settat,2021-11-22,14.75,21.24,10.68,0.3,71.41,1.72,13.2,10.56,0.4797663062215744,1.937933607667,2.42,10.780000000000015,15.192857142857145,-64.58980659715021,0.04,-0.6250496486104377,0.7805849965070866,7,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.2430865175572385,0.5928157501379648
marrakech,2021-11-23,13.67,19.0,10.5,3.13,70.41,2.53,12.76,8.5,0.4629919371074939,1.7413416188977515,12.679999999999986,14.66,13.711428571428572,-59.75422709321239,0.55,-0.6115298757991053,0.7912213413483807,8,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.4844755519924502,0.44097431764833706
meknes,2021-11-23,12.22,15.18,9.23,13.47,86.32,3.02,3.16,5.949999999999999,0.1946719433478516,1.2971267910868107,24.54000000000003,36.85,14.66,-33.19093994218675,1.72,-0.6115298757991053,0.7912213413483807,8,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.1918944134513808,0.05278244126827408
settat,2021-11-23,12.41,15.65,9.5,20.07,90.14,1.78,3.2,6.15,0.1420762604573646,1.3645607672104954,22.44,30.840000000000018,14.912857142857144,-42.48993825238959,0.3,-0.6115298757991053,0.7912213413483807,8,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.2467142378376779,0.14768183600945053
marrakech,2021-11-24,10.88,15.29,7.62,1.74,75.55,1.58,11.25,7.669999999999999,0.3184074037200154,1.499384687700711,14.409999999999986,16.400000000000002,13.455714285714288,-56.066942580104666,3.13,-0.5978291414589552,0.801623551065242,9,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.4864946194261573,0.40389006936856103
meknes,2021-11-24,11.77,15.42,9.01,3.66,81.55,3.95,7.29,6.41,0.2548745027196346,1.318303430599502,28.15000000000003,40.510000000000005,14.287142857142856,-28.537658179566197,13.47,-0.5978291414589552,0.801623551065242,9,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.1468743774213207,0.0567461072802214
settat,2021-11-24,11.74,17.27,7.97,0.72,80.24,2.22,8.97,9.3,0.2724307685267607,1.6314529964992328,23.13,31.540000000000017,14.54,-40.42716961858228,20.07,-0.5978291414589552,0.801623551065242,9,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.2303763837305459,0.14168588115756528
marrakech,2021-11-25,9.77,15.39,5.99,0.31,70.24,1.12,13.07,9.4,0.3598473685999337,1.5873156033335734,13.999999999999986,16.700000000000003,12.721428571428572,-54.62772099864133,1.74,-0.5839514998576998,0.8117885474764613,10,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.4279597098121847,0.4401219523062146
meknes,2021-11-25,12.25,16.62,10.04,2.74,78.61,4.37,9.42,6.580000000000002,0.3049899640097635,1.3495481534135687,30.89000000000003,43.17,13.69285714285714,-24.980657699725203,3.66,-0.5839514998576998,0.8117885474764613,10,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.0,0.04731515222131576
settat,2021-11-25,12.33,17.94,8.83,1.26,76.77,2.35,8.38,9.11,0.3329734649808428,1.6378364657754558,24.380000000000003,32.72000000000001,13.937142857142856,-38.234969075934416,0.72,-0.5839514998576998,0.8117885474764613,10,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.0339247765558424,0.14332363418450741
marrakech,2021-11-26,9.68,12.97,7.42,2.4,77.56,1.74,9.31,5.550000000000001,0.269701413114582,1.2095452757495837,8.309999999999985,19.08,12.135714285714286,-50.5828974925724,0.31,-0.5699010576127624,0.821713322596059,11,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.4209995912793034,0.432399588117054
meknes,2021-11-26,10.99,14.98,8.65,13.08,81.51,2.87,5.5,6.33,0.2425595508219069,1.261092272938069,36.190000000000026,56.24,12.792857142857144,-9.929323199233616,2.74,-0.5699010576127624,0.821713322596059,11,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.0,0.01896684165289604
settat,2021-11-26,11.34,15.61,8.03,9.39,81.56,2.0,8.95,7.58,0.2475898713124466,1.4371424643662165,31.930000000000003,42.02000000000002,13.12,-27.58835261787278,1.26,-0.5699010576127624,0.821713322596059,11,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.0,0.06392101715644828
marrakech,2021-11-27,8.34,12.63,5.53,0.68,78.83,2.05,9.64,7.1000000000000005,0.2324180459400915,1.2949768275975362,8.809999999999986,19.76,11.44,-48.30381914957295,2.4,-0.5556819724760489,0.8313949395234058,12,0.3,31.63,-7.99,0.25,0.12,1.0,130.0,0.4143586597816258,0.4149998065751682
meknes,2021-11-27,10.79,15.52,7.67,3.77,78.41,2.91,9.54,7.85,0.2794829601381427,1.387086234065342,38.63000000000003,60.0,12.175714285714289,-4.37514418713802,13.08,-0.5556819724760489,0.8313949395234058,12,0.3,33.89,-5.55,0.3,0.15,1.0,150.0,0.0,0.023705696310077032
settat,2021-11-27,11.08,15.58,7.75,3.56,78.54,1.87,11.37,7.83,0.2832100100383704,1.440101905232542,35.34,45.530000000000015,12.564285714285717,-22.44097988108296,9.39,-0.5556819724760489,0.8313949395234058,12,0.3,33.0,-7.62,0.28,0.14,1.0,140.0,0.0,0.010763538512460681
